trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,FALSE,"{'a': 0.1, 'e': 0.692309172643364}",25,0,-88.87330345,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
19,FALSE,"{'a': 0.1, 'e': 0.6867706992622171}",25,0,-150.0729672,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
20,FALSE,"{'a': 0.1, 'e': 0.6812765336681195}",30,0,-147.9704849,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
21,FALSE,"{'a': 0.1, 'e': 0.6758263213987744}",20,0,-161.6419733,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
22,FALSE,"{'a': 0.1, 'e': 0.6704197108275842}",20,0,-125.3915595,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
23,FALSE,"{'a': 0.1, 'e': 0.6650563531409636}",20,0,-61.06277757,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
24,FALSE,"{'a': 0.1, 'e': 0.6597359023158358}",35,0,-176.5566425,"{0: 20, 1: 5, 2: 6, 3: 2, 4: 2}",0
25,FALSE,"{'a': 0.1, 'e': 0.6544580150973092}",20,10,-22.17500037,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
26,FALSE,"{'a': 0.1, 'e': 0.6492223509765307}",20,9,-6.618633472,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
27,FALSE,"{'a': 0.1, 'e': 0.6440285721687184}",20,0,-151.2203515,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
28,FALSE,"{'a': 0.1, 'e': 0.6388763435913687}",30,8,-67.80211828,"{0: 15, 1: 2, 2: 2, 3: 3, 4: 0}",1
29,FALSE,"{'a': 0.1, 'e': 0.6337653328426377}",25,0,-158.6012075,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 2}",0
30,FALSE,"{'a': 0.1, 'e': 0.6286952101798966}",20,6,-49.76780861,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
31,FALSE,"{'a': 0.1, 'e': 0.6236656484984575}",35,0,-11.1219362,"{0: 30, 1: 2, 2: 2, 3: 1, 4: 0}",0
32,FALSE,"{'a': 0.1, 'e': 0.6186763233104697}",25,0,-91.38908039,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
33,FALSE,"{'a': 0.1, 'e': 0.6137269127239859}",20,10,-14.57659019,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
